#,NES Game,Main Category,# of Runners,Game Value,Mod #R,GVC,GVP,LTM,L,*1.8,.4%+,Min,Relevant Link
343,Batman Returns,Good ending,11,270,27.5,270,270,2.5,,490,560,100,https://www.speedrun.com/batman_returns_nes
343,Jurassic Park,any%,11,270,27.5,270,270,2.5,,490,560,100,https://www.speedrun.com/jurassic_park_nes
343,Snake's Revenge,any%,11,270,27.5,270,270,2.5,,490,560,100,https://www.speedrun.com/snakesrevenge
346,Pipe Dream,Game B,14,270,27.16,270,270,1.94,,490,560,100,https://www.speedrun.com/pipe_dream
347,Isolated Warrior,any%,11,260,27.06,260,260,2.46,,470,550,100,https://www.speedrun.com/isolated_warrior
347,"Jungle Book, The",any%,11,260,27.06,260,260,2.46,,470,550,100,https://www.speedrun.com/the_jungle_book_nes
349,G.I. Joe: The Atlantis Factor,any%,13,260,27.04,260,260,2.08,,470,550,100,https://www.speedrun.com/gijoe_taf
350,Bubble Bobble Part 2,any%,11,260,26.95,260,260,2.45,,470,550,100,https://www.speedrun.com/bubblebobblepart2
351,"Three Stooges, The",any%,14,260,26.88,260,260,1.92,,470,550,100,https://www.speedrun.com/the_three_stooges
352,Family Feud,Fast Money Win,20,260,26.8,260,260,1.34,,470,550,100,https://www.speedrun.com/familyfeudnes?h=Fast_Money_Win-EmulatorFlashcart-1P1C&x=jdrxrl5d-ylq6j638.9qjr8n0l-2lgrj2en.gq7d4dpq
353,Digger T. Rock: Legend of the Lost City,any%,14,260,26.74,260,260,1.91,,470,550,100,https://www.speedrun.com/digger_t._rock_the_legend_of_the_lost_city
354,California Games,All events,32,250,26.56,250,250,0.83,,450,550,100,https://www.speedrun.com/california_games_nes
355,Super Jeopardy!,any%,11,250,26.51,250,250,2.41,,450,550,100,https://www.speedrun.com/super_jeopardy
356,"Addams Family, The",any%,12,250,26.4,250,250,2.2,,450,550,100,https://www.speedrun.com/addamsfamily
357,Tag Team Wrestling,1 match,21,250,26.25,250,250,1.25,,450,550,100,https://www.speedrun.com/tag_team_wrestling
358,"Immortal, The",any%,12,250,26.16,250,250,2.18,,450,550,100,https://www.speedrun.com/the_immortal_nes
359,World Games,All Gold,14,250,26.04,250,250,1.86,,450,550,100,https://www.speedrun.com/world_games
360,Gauntlet II,10 Levels,20,250,26,250,250,1.3,,450,550,100,https://www.speedrun.com/gauntlet_ii
361,Nightshade,any%,12,240,25.8,240,240,2.15,,440,540,100,https://www.speedrun.com/nightshade_nes
362,Pro Wrestling,VWA/VWF Champion any%,12,240,25.68,240,240,2.14,,440,540,100,https://www.speedrun.com/pro_wrestling_nes
362,Werewolf: The Last Warrior,any%,12,240,25.68,240,240,2.14,,440,540,100,https://www.speedrun.com/werewolf_the_last_warrior
364,"Blues Brothers, The",any%,13,240,25.22,240,240,1.94,,440,540,100,https://www.speedrun.com/tbb
364,BurgerTime,1-Loop,13,240,25.22,240,240,1.94,,440,540,100,https://www.speedrun.com/burgertime_nes
366,Star Wars: The Empire Strikes Back,any%,11,240,25.19,240,240,2.29,,440,540,100,https://www.speedrun.com/star_wars_the_empire_strikes_back
367,Hydlide,any%,11,240,25.08,240,240,2.28,,440,540,100,https://www.speedrun.com/hydlide1
367,Tiny Toon Adventures 2: Trouble in Wackyland,any%,11,240,25.08,240,240,2.28,,440,540,100,https://www.speedrun.com/tiny_toon_adventures_2_trouble_in_wackyland
369,Overlord,8 Planets,14,230,25.06,230,230,1.79,,420,530,100,https://www.speedrun.com/overlord_supremacy
370,Gyromite,Game A - Phases 1-40,10,230,25,230,230,2.5,,420,530,100,https://www.speedrun.com/gyromite
370,Gyruss,any%,10,230,25,230,230,2.5,,420,530,100,https://www.speedrun.com/gyruss
370,Mission: Impossible,any%,10,230,25,230,230,2.5,,420,530,100,https://www.speedrun.com/mission_impossible_nes
374,Greg Norman's Golf Power,USA,13,230,24.96,230,230,1.92,,420,530,100,https://www.speedrun.com/greg_normans_golf_power
375,Winter Games,All Events,28,230,24.92,230,230,0.89,,420,530,100,https://www.speedrun.com/winter_games
376,Iron Tank,any%,11,220,24.86,220,220,2.26,,400,530,100,https://www.speedrun.com/iron_tank
377,Elevator Action,any%,12,220,24.84,220,220,2.07,,400,530,100,https://www.speedrun.com/elevator_action
378,Bonk's Adventure,any%,10,220,24.6,220,220,2.46,,400,530,100,https://www.speedrun.com/bonknes
379,Clash at Demonhead,any%,10,220,24.4,220,220,2.44,,400,530,100,https://www.speedrun.com/clash_at_demonhead
380,Fist of the North Star,any%,12,220,24.36,220,220,2.03,,400,530,100,https://www.speedrun.com/fist_of_the_north_star_nes
381,Tag Team Match: M.U.S.C.L.E.,1 loop,13,220,24.05,220,220,1.85,,400,530,100,https://www.speedrun.com/tag_team_match_muscle
382,Beetlejuice,any%,11,220,23.87,220,220,2.17,,400,530,100,https://www.speedrun.com/beetlejuice
465,Destiny of an Emperor,any%,7,220,17.5,120,120,2.5,Y,220,470,85,https://www.speedrun.com/destiny_of_an_emperor?h=Any_US&x=zdn488ek
465,Lode Runner,50 Levels (default speed),7,220,17.5,120,120,2.5,Y,220,470,85,https://www.speedrun.com/lode_runner
465,Tennis,All Levels,7,220,17.5,120,120,2.5,Y,220,470,85,https://www.speedrun.com/tennis_nes
383,Asterix,any% Easy,12,210,23.76,210,210,1.98,,380,520,100,https://www.speedrun.com/asterix
384,Day Dreamin' Davey,any%,10,210,23.7,210,210,2.37,,380,520,100,https://www.speedrun.com/day_dreamin_davey
385,Battleship,Level 1,14,210,23.52,210,210,1.68,,380,520,100,https://www.speedrun.com/battleship
386,Darkman,Beat the Game,11,210,23.43,210,210,2.13,,380,520,100,https://www.speedrun.com/darkman
387,Doki! Doki! Yuenchi: Crazy Land Daisakusen,any%,10,210,23.4,210,210,2.34,,380,520,100,https://www.speedrun.com/ddy
388,Abadox: The Deadly Inner War,any%,10,210,23.3,210,210,2.33,,380,520,100,https://www.speedrun.com/abadox
389,WWF WrestleMania,Tournament mode,12,210,23.28,210,210,1.94,,380,520,100,https://www.speedrun.com/wwf_wrestlemania
390,Kiwi Kraze,any%,12,210,22.92,210,210,1.91,,380,520,100,https://www.speedrun.com/newzealandstory
391,Totally Rad,any%,10,200,22.9,200,200,2.29,,360,520,100,https://www.speedrun.com/totally_rad
392,Harlem Globetrotters,Single Game Victory,16,200,22.72,200,200,1.42,,360,520,100,https://www.speedrun.com/harlem_globetrotters
393,Tiger-Heli,1 Loop Glitchless,10,200,22.7,200,200,2.27,,360,520,100,https://www.speedrun.com/tiger-heli
394,Castlequest,any%,10,200,22.5,200,200,2.25,,360,520,100,https://www.speedrun.com/castlequest
394,Muppet Adventure: Chaos at the Carnival,any%,9,200,22.5,200,200,2.5,,360,520,100,https://www.speedrun.com/muppet_adventure_chaos_at_the_carnival
394,Rampart,"Easy, With continues",9,200,22.5,200,200,2.5,,360,520,100,https://www.speedrun.com/rampart_nes
394,Super Spy Hunter,any%,9,200,22.5,200,200,2.5,,360,520,100,https://www.speedrun.com/super_spy_hunter
394,Top Gun,Beat the game,9,200,22.5,200,200,2.5,,360,520,100,https://www.speedrun.com/top_gun
394,Xexyz,any%,9,200,22.5,200,200,2.5,,360,520,100,https://www.speedrun.com/xexyz
403,Double Dare,Victory,11,190,22.44,190,190,2.04,,350,510,100,https://www.speedrun.com/double_dare
403,Peter Pan and the Pirates,any%,11,190,22.44,190,190,2.04,,350,510,100,https://www.speedrun.com/peter_pan_and_the_pirates
405,3-D WorldRunner,any%,9,190,22.05,190,190,2.45,,350,510,100,https://www.speedrun.com/3-d_worldrunner
406,Dash Galaxy in the Alien Asylum,any%,11,190,22,190,190,2,,350,510,100,https://www.speedrun.com/dash_galaxy_in_the_alien_asylum
406,NES Play Action Football,One Win,11,190,22,190,190,2,,350,510,100,https://www.speedrun.com/nes_play_action_football?h=One_Win&x=9kvm838k
408,Arch Rivals,Victory,12,180,21.96,180,180,1.83,,330,500,100,https://www.speedrun.com/arch_rivals
408,Burai Fighter,any% (Eagle),9,180,21.96,180,180,2.44,,330,500,100,https://www.speedrun.com/burai_fighter_nes
410,Frankenstein: The Monster Returns,any%,10,180,21.7,180,180,2.17,,330,500,100,https://www.speedrun.com/frankenstein_the_monster_returns
411,Cybernoid: The Fighting Machine,Easy,11,180,21.34,180,180,1.94,,330,500,100,https://www.speedrun.com/cybernoid
411,Mickey's Adventures in Numberland,normal any%,22,180,21.34,180,180,0.97,,330,500,100,https://www.speedrun.com/mickeys_adventures_in_numberland
413,Prince of Persia,any%,9,180,21.33,180,180,2.37,,330,500,100,https://www.speedrun.com/pop1?h=Any-nes&x=rklx8pnk-ylqj57nr.5le2xv6l
414,Volleyball,Match,14,180,21.28,180,180,1.52,,330,500,100,https://www.speedrun.com/volleyball
415,Kid Kool,any%,9,180,20.97,180,180,2.33,,330,500,100,https://www.speedrun.com/kid_kool
416,Pinball Quest,RPG Mode,10,170,20.9,170,170,2.09,,310,500,100,https://www.speedrun.com/pinballquest
417,"Krion Conquest, The",Beat the Game,9,170,20.79,170,170,2.31,,310,500,100,https://www.speedrun.com/krionconquest
418,Capcom's Gold Medal Challenge '92,any%,15,170,20.7,170,170,1.38,,310,500,100,https://www.speedrun.com/capcoms_gold_medal_challenge_92
418,Qix,Level 10,15,170,20.7,170,170,1.38,,310,500,100,https://www.speedrun.com/qix?h=Level_10_NES&x=8241jve2
418,Swamp Thing,any%,9,170,20.7,170,170,2.3,,310,500,100,https://www.speedrun.com/swamp_thing
421,Wheel of Fortune Family Edition,any%,24,170,20.64,170,170,0.86,,310,500,100,https://www.speedrun.com/wheel_of_fortune_family_edition
422,"Simpsons: Bartman Meets Radioactive Man, The",any%,9,170,20.61,170,170,2.29,,310,500,100,https://www.speedrun.com/the_simpsons_bartman_meets_radioactive_man
422,Solar Jetman: Hunt for the Golden Warpship,any%,9,170,20.61,170,170,2.29,,310,500,100,https://www.speedrun.com/solar_jetman
504,Back to the Future Part II & III,any%,6,170,15,90,90,2.5,Y,170,450,75,https://www.speedrun.com/backtothefuture2and3
504,Ferrari Grand Prix Challenge,Qualify,6,170,15,90,90,2.5,Y,170,450,75,https://www.speedrun.com/ferrari_grand_prix_challenge
504,Knight Rider,Mission Mode,6,170,15,90,90,2.5,Y,170,450,75,https://www.speedrun.com/knight_rider_nes
504,Lunar Pool,any%,6,170,15,90,90,2.5,Y,170,450,75,https://www.speedrun.com/lunar_pool
424,Castle of Dragon,any%,10,160,20.6,160,160,2.06,,290,490,100,https://www.speedrun.com/castle_of_dragon
425,KlashBall,Knockout (1 win),15,160,20.55,160,160,1.37,,290,490,100,https://www.speedrun.com/klashball
426,Wheel of Fortune Junior Edition,any%,24,160,20.4,160,160,0.85,,290,490,100,https://www.speedrun.com/wheel_of_fortune_junior_edition
427,Low G Man: The Low Gravity Man,any%,9,160,20.34,160,160,2.26,,290,490,100,https://www.speedrun.com/low_g_man
428,Where in Time Is Carmen Sandiego?,Single Capture,16,160,20.32,160,160,1.27,,290,490,100,https://www.speedrun.com/where_in_time_is_carmen_sandiego
429,Circus Caper,any%,10,160,20.1,160,160,2.01,,290,490,100,https://www.speedrun.com/circus_caper
430,"Adventures of Gilligan's Island, The",any%,8,160,20,160,160,2.5,,290,490,100,https://www.speedrun.com/the_adventures_of_gilligans_island
430,Adventures of Lolo 2,any%,8,160,20,160,160,2.5,,290,490,100,https://www.speedrun.com/lolo2
430,Formula One Sensation,Win the Championship,8,160,20,160,160,2.5,,290,490,100,https://www.speedrun.com/formula_1_sensation
430,Lethal Weapon,any%,8,160,20,160,160,2.5,,290,490,100,https://www.speedrun.com/lethal_weapon
430,Little League Baseball: Championship Series,Win a Championship,8,160,20,160,160,2.5,,290,490,100,https://www.speedrun.com/little_league_baseball_championship_series?h=Win_a_Championship&x=zd3l37vd
430,Ultima III: Exodus,any%,8,160,20,160,160,2.5,,290,490,100,https://www.speedrun.com/ultima3
440,Wall Street Kid,any%,8,150,19.92,150,150,2.49,,270,490,95,https://www.speedrun.com/wsk
441,Time Lord,any%,9,150,19.62,150,150,2.18,,270,490,95,https://www.speedrun.com/time_lord
442,Bases Loaded,Win a Game,10,150,19.6,150,150,1.96,,270,490,95,https://www.speedrun.com/bases_loaded
442,Star Trek: 25th Anniversary,Beat the Game,8,150,19.6,150,150,2.45,,270,490,95,https://www.speedrun.com/startrek25nes
444,Treasure Master,any% (all),8,140,19.52,140,140,2.44,,260,480,95,https://www.speedrun.com/treasure_master
445,Advanced Dungeons & Dragons: Heroes of the Lance,any%,10,140,19.5,140,140,1.95,,260,480,95,https://www.speedrun.com/adndhotl
446,Gumshoe,any%,9,140,19.26,140,140,2.14,,260,480,95,https://www.speedrun.com/gumshoe
447,Cabal,Beat the Game 1 Player,8,140,19.2,140,140,2.4,,260,480,95,https://www.speedrun.com/cabal
447,Rambo,any%,8,140,19.2,140,140,2.4,,260,480,95,https://www.speedrun.com/rambo
447,Swords and Serpents,any%,8,140,19.2,140,140,2.4,,260,480,95,https://www.speedrun.com/swords_and_serpents
450,Roundball: 2 on 2 Challenge,100 Points,14,140,19.18,140,140,1.37,,260,480,95,https://www.speedrun.com/roundball_2_on_2_challenge
451,Tombs & Treasure,any%,8,140,18.96,140,140,2.37,,260,480,90,https://www.speedrun.com/tombs_and_treasure
452,"Smurfs, The",Hard any%,9,130,18.81,130,130,2.09,,240,470,90,https://www.speedrun.com/the_smurfs_nes
453,Kings of the Beach,Match,14,130,18.76,130,130,1.34,,240,470,90,https://www.speedrun.com/kings_of_the_beach?h=Match-NES&x=zd363eyd-38do100l.5lekj9zl
454,Operation Wolf,any%,9,130,18.63,130,130,2.07,,240,470,90,https://www.speedrun.com/operation_wolf_nes
455,"Incredible Crash Dummies, The",any%,8,130,18.56,130,130,2.32,,240,470,90,https://www.speedrun.com/the_incredible_crash_dummies_nes
456,Ikari Warriors II: Victory Road,any%,9,130,18.54,130,130,2.06,,240,470,90,https://www.speedrun.com/ikariwarriors2
457,Dirty Harry: The War Against Drugs,any%,8,130,18.24,130,130,2.28,,240,470,90,https://www.speedrun.com/dirty_harry
458,Tecmo NBA Basketball,Win a Game,12,130,18.12,130,130,1.51,,240,470,90,https://www.speedrun.com/tecmo_nba_basketball
459,Rock 'n Ball,Bomber,10,130,18.1,130,130,1.81,,240,470,90,https://www.speedrun.com/rock_n_ball
460,BreakThru,any%,9,130,18.09,130,130,2.01,,240,470,90,https://www.speedrun.com/breakthru
461,720°,any%,8,130,18,130,130,2.25,,240,470,90,https://www.speedrun.com/720
462,Tecmo Baseball,Win a Game,11,120,17.93,120,120,1.63,,220,470,85,https://www.speedrun.com/tecmo_baseball
463,Arkanoid,any%,8,120,17.84,120,120,2.23,,220,470,85,https://www.speedrun.com/arkanoid
464,John Elway's Quarterback,any%,11,120,17.82,120,120,1.62,,220,470,85,https://www.speedrun.com/john_elways_quarterback
465,Battle Tank,any%,7,120,17.5,120,120,2.5,,220,470,85,https://www.speedrun.com/battle_tank
465,Commando,"Itemless, All Mission",7,120,17.5,120,120,2.5,,220,470,85,https://www.speedrun.com/commando
465,Over Horizon,any%,7,120,17.5,120,120,2.5,,220,470,85,https://www.speedrun.com/over_horizon
465,Princess Tomato in the Salad Kingdom,Beat the Game,7,120,17.5,120,120,2.5,,220,470,85,https://www.speedrun.com/princess_tomato_in_the_salad_kingdom
465,Sesame Street: Big Bird's Hide & Speak,All 6 Games,14,120,17.5,120,120,1.25,,220,470,85,https://www.speedrun.com/sesame_street_big_birds_hide_and_speak
465,Star Force,Stage 24 - Omega,7,120,17.5,120,120,2.5,,220,470,85,https://www.speedrun.com/star_force
474,Crash 'n the Boys: Street Challenge,any%,16,110,17.44,110,110,1.09,,200,460,85,https://www.speedrun.com/crashntheboys
475,All-Pro Basketball,win%,10,110,17.4,110,110,1.74,,200,460,85,https://www.speedrun.com/all_pro_basketball
476,Bases Loaded II: Second Season,Win a Game,11,110,17.38,110,110,1.58,,200,460,85,https://www.speedrun.com/bases_loaded_ii_second_season
477,Caveman Games,All WRs,9,110,17.37,110,110,1.93,,200,460,85,https://www.speedrun.com/caveman_games
478,"Jetsons: Cogswell's Caper!, The",any%,7,110,17.36,110,110,2.48,,200,460,85,https://www.speedrun.com/the_jetsons_cogswells_caper
478,Silkworm,any%,7,110,17.36,110,110,2.48,,200,460,85,https://www.speedrun.com/silkworm
480,Mario Is Missing!,100%,7,110,17.29,110,110,2.47,,200,460,85,https://www.speedrun.com/mario_is_missing_nes
481,Major League Baseball,Win Game,10,110,17.2,110,110,1.72,,200,460,85,https://www.speedrun.com/major_league_baseball
482,Stinger,1 Player,7,110,17.08,110,110,2.44,,200,460,85,https://www.speedrun.com/stinger
483,P.O.W.: Prisoners of War,any%,7,110,17.01,110,110,2.43,,200,460,85,https://www.speedrun.com/pow_prisoners_of_war
543,Air Fortress,any% (Quest 1 & 2),5,110,12.5,60,60,2.5,Y,110,430,60,https://www.speedrun.com/air_fortress
543,"Black Bass, The",any%,5,110,12.5,60,60,2.5,Y,110,430,60,https://www.speedrun.com/the_black_bass
543,Dance Aerobics,any%,5,110,12.5,60,60,2.5,Y,110,430,60,https://www.speedrun.com/dance_aerobics
543,Days of Thunder,any%,5,110,12.5,60,60,2.5,Y,110,430,60,https://www.speedrun.com/days_of_thunder_nes
543,Ultima IV: Quest of the Avatar,any%,5,110,12.5,60,60,2.5,Y,110,430,60,https://www.speedrun.com/ultima4
484,Goal!,Perfect Shootout,13,100,16.9,100,100,1.3,,180,460,80,https://www.speedrun.com/goal
485,Indiana Jones and the Last Crusade (Ubisoft-1993),any%,8,100,16.88,100,100,2.11,,180,460,80,https://www.speedrun.com/indiana_jones_and_the_last_crusade_ubisoft
485,"Simpsons: Bart vs. the World, The",any%,8,100,16.88,100,100,2.11,,180,460,80,https://www.speedrun.com/the_simpsons_bart_vs_the_world
487,Amagon,any%,7,100,16.87,100,100,2.41,,180,460,80,https://www.speedrun.com/amagon
488,Captain Skyhawk,any%,7,100,16.73,100,100,2.39,,180,460,80,https://www.speedrun.com/captain_skyhawk
489,WWF WrestleMania Challenge,1v8 as Yourself (Solo),9,100,16.65,100,100,1.85,,180,460,80,https://www.speedrun.com/wwf_wrestlemania_challenge
490,"Terminator, The",any%,8,100,16.48,100,100,2.06,,180,460,80,https://www.speedrun.com/the_terminator
491,Hudson Hawk,any%,8,100,16.4,100,100,2.05,,180,460,80,https://www.speedrun.com/hh
492,Wheel of Fortune: Featuring Vanna White,any%,19,100,16.34,100,100,0.86,,180,460,80,https://www.speedrun.com/wheel_of_fortune_featuring_vanna_white
493,Crackout,Highscore,11,100,16.28,100,100,1.48,,180,460,80,https://www.speedrun.com/Crackout_NES
494,Goal! Two,Win a Game,12,100,16.2,100,100,1.35,,180,460,80,https://www.speedrun.com/goal_two
495,Times of Lore,any%,7,90,16.03,90,90,2.29,,170,450,80,https://www.speedrun.com/times_of_lore
496,Town & Country II: Thrilla's Surfari,any%,7,90,15.96,90,90,2.28,,170,450,75,https://www.speedrun.com/town_and_country_ii_thrillas_surfari
497,Rollerblade Racer,First Place,8,90,15.52,90,90,1.94,,170,450,75,https://www.speedrun.com/rollerblade_racer
498,Gemfire,any%,7,90,15.47,90,90,2.21,,170,450,75,https://www.speedrun.com/gemfire?h=any_NES&x=9kvxlo02
499,Ultimate Basketball,Win a Game,10,90,15.4,90,90,1.54,,170,450,75,https://www.speedrun.com/ultimate_basketball
500,Banana Prince,any%,7,90,15.33,90,90,2.19,,170,450,75,https://www.speedrun.com/banana_prince
501,Star Trek: The Next Generation,Promotion to Captain,8,90,15.28,90,90,1.91,,170,450,75,https://www.speedrun.com/star_trek_tng_nes
502,Athletic World,any% Beginner,8,90,15.12,90,90,1.89,,170,450,75,https://www.speedrun.com/athletic_world
503,Nintendo Campus Challenge,"any%, Level 3 clear",8,90,15.04,90,90,1.88,,170,450,75,https://www.speedrun.com/Nintendo_Campus_Challenge_NES?h=any-emu&x=vdoe7xvk
504,Advanced Dungeons & Dragons: Hillsfar,Cleric/Mage/Thief/Fighter,6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/advanced_dungeons_and_dragons_hillsfar
504,Fun House,any% Warps,6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/fun_house
504,King's Quest V: Absence Makes the Heart Go Yonder!,any%,6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/kqvnes
504,Nobunaga's Ambition,17 Fiefs Beat the Game,6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/nobunagas_ambition
504,R.C. Pro-Am II,1 Loop (36 tracks),6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/r.c._pro-am_ii
504,Robowarrior,any%,6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/robowarrior
504,Xenophobe,Single Loop,6,90,15,90,90,2.5,,170,450,75,https://www.speedrun.com/xenophobe
515,Race America,any% Win,6,80,14.94,80,80,2.49,,150,440,70,https://www.speedrun.com/race_america
516,"Addams Family: Pugsley's Scavenger Hunt, The",any%,7,80,14.91,80,80,2.13,,150,440,70,https://www.speedrun.com/the_addams_family_pugsleys_scavenger_hunt_nes
517,Superman,any%,6,80,14.88,80,80,2.48,,150,440,70,https://www.speedrun.com/superman_nes
518,Tecmo World Cup Soccer,Score 10 Goals,11,80,14.74,80,80,1.34,,150,440,70,https://www.speedrun.com/tecmo_world_cup_soccer
